OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,Topic,first_names,last_name,last_init,name_raw,id,fi_ln
A5011765578,https://orcid.org/0000-0002-4828-7085,Simon Overstall,"['S. Overstall', 'Simon L. Overstall', 'Simon Lysander Overstall', 'Simon M. Overstall', 'Simon Overstall']",25,92,5,13,Physical Sciences,simon,overstall,o,simon overstall,A5011765578,s overstall
A5088595935,,Rhys Kesselman,"['Kesselman, Rhys', 'Rhys Kesselman']",1,5,1,1,Social Sciences,rhys,kesselman,k,rhys kesselman,A5088595935,r kesselman
A5012442091,https://orcid.org/0009-0006-5818-5302,Julie Le Hegarat,['Julie Le Hegarat'],2,1,1,2,Social Sciences,julie le,hegarat,h,julie le hegarat,A5012442091,j hegarat
A5095550598,,Wendy Hui,['Wendy Hui'],1,0,0,2,,wendy,hui,h,wendy hui,A5095550598,w hui
A5012466903,,Jason Stearns,"['Jason Stearns', 'Stearns, Jason']",17,192,4,3,Social Sciences,jason,stearns,s,jason stearns,A5012466903,j stearns
A5039756500,,Marquisa Zrymiak,['Marquisa Zrymiak'],1,2,1,1,Health Sciences,marquisa,zrymiak,z,marquisa zrymiak,A5039756500,m zrymiak
A5069200251,,Denise Oleksijczuk,['Denise Oleksijczuk'],2,32,1,1,Physical Sciences,denise,oleksijczuk,o,denise oleksijczuk,A5069200251,d oleksijczuk
A5075458228,,Megan MacKenzie,"['M. MacKenzie', 'Megan A. MacKenzie', 'Megan Ashley MacKenzie', 'Megan MacKenzie', 'Megan Mackenzie']",13,70,4,5,Social Sciences,megan,mackenzie,m,megan mackenzie,A5075458228,m mackenzie
A5038294012,https://orcid.org/0000-0003-4831-8088,Henry Lee-Six,"['H Lee-Six', 'H. Lee-Six', 'H. Lee‐Six', 'Henry Lee-Six', 'J. Ciaran Hutchinson', 'Lee-Six, Henry', 'Ming Ta Michael Lee']",163,21878,46,19,Life Sciences,henry,lee-six,l,henry lee-six,A5038294012,h lee-six
A5007462158,https://orcid.org/0000-0001-6764-4992,Elaine de Fatima Beltran-Sellitti,"['Elaine Beltran-Sellitti', 'Elaine de Fatima Beltran-Sellitti']",3,2,1,2,Social Sciences,elaine de fatima,beltran-sellitti,b,elaine de fatima beltran-sellitti,A5007462158,e beltran-sellitti
A5076469158,,Steve Pye,"['Pye, Steve', 'Steve Pye']",5,18,3,6,Physical Sciences,steve,pye,p,steve pye,A5076469158,s pye
A5093577963,,Marina Toptchiian,['Marina Toptchiian'],1,0,0,1,Social Sciences,marina,toptchiian,t,marina toptchiian,A5093577963,m toptchiian
A5056704479,,Richard Peregoy,"['Richard P. Peregoy', 'Richard Peregoy']",14,25,2,3,Social Sciences,richard,peregoy,p,richard peregoy,A5056704479,r peregoy
A5111482026,,Emily O’Brien,"[""Emily O'Brien"", 'Emily O’Brien', 'Emily O’Brien (book author)', 'Emily O’Brien (review author)', ""O'Brien, Emily L.""]",41,127,5,6,Social Sciences,emily,o’brien,o,emily o’brien,A5111482026,e o’brien
A5017199418,,Gregory Haljan,"['G Haljan', 'Gregory Haljan', 'Gregory J. Haljan']",24,561,8,13,Health Sciences,gregory,haljan,h,gregory haljan,A5017199418,g haljan
A5101766630,https://orcid.org/0000-0003-3320-7414,Shinhye Kim,"['Joo-Hyun Park', 'Shin-Hye Kim', 'Shinhye Kim']",28,571,12,20,Health Sciences,shinhye,kim,k,shinhye kim,A5101766630,s kim
A5113339056,,Devan Gill,"['Devan Gill', 'Gill D S']",4,1,1,4,Life Sciences,devan,gill,g,devan gill,A5113339056,d gill
A5038142998,,Joshua Fritsch,['Joshua Fritsch'],1,13,1,1,Physical Sciences,joshua,fritsch,f,joshua fritsch,A5038142998,j fritsch
A5051792332,,J. F. Ogilvie,['J. F. Ogilvie'],1,0,0,1,Physical Sciences,j. f.,ogilvie,o,j. f. ogilvie,A5051792332,j ogilvie
A5046399128,https://orcid.org/0000-0002-9234-0605,Philipp Eibl,"['Eibl, Philipp', 'P. Eibl', 'Philipp Eibl']",20,41,4,7,Physical Sciences,philipp,eibl,e,philipp eibl,A5046399128,p eibl
A5109174717,,Michael G. Kenny,"['Kenny, Michael G.', 'M. G. Kenny', 'MICHAEL G. KENNY', 'Michael G Kenny', 'Michael G. Kenny', 'Michael Kenny', 'Michael\xa0G. Kenny']",81,1085,17,8,Social Sciences,michael g.,kenny,k,michael g. kenny,A5109174717,m kenny
A5001693103,https://orcid.org/0000-0002-1065-9197,John Shadarevian,['John Shadarevian'],5,65,3,8,Social Sciences,john,shadarevian,s,john shadarevian,A5001693103,j shadarevian
A5029438719,,Z.K. Punja,['Z.K. Punja'],1,14,1,1,Life Sciences,z.k.,punja,p,z.k. punja,A5029438719,z punja
A5084084779,,J. R. Newton,"['J. R. Newton', 'Jack Newton']",3,1,1,1,Social Sciences,j. r.,newton,n,j. r. newton,A5084084779,j newton
A5088418098,,David Moscrop,"['David Moscrop', 'David R. H. Moscrop', 'David RH Moscrop', 'Moscrop, David']",7,62,3,3,Social Sciences,david,moscrop,m,david moscrop,A5088418098,d moscrop
A5095550597,,Autor Innen,['Autor Innen'],1,0,0,2,,autor,innen,i,autor innen,A5095550597,a innen
A5002462619,https://orcid.org/0000-0002-7668-0693,R. Picker,"['Picker, R.', 'Picker, Ruediger', 'R. PICKER', 'R. Picker', 'Ruediger Picker', 'Rüdiger Picker']",47,569,13,6,Physical Sciences,r.,picker,p,r. picker,A5002462619,r picker
A5033805174,,Margaret de Groh,"['M Groh', 'M de Groh', 'M. de Groh', 'Margaret De Groh', 'Margaret de Groh', 'de Groh, Margaret']",121,2411,27,12,Health Sciences,margaret de,groh,g,margaret de groh,A5033805174,m groh
A5050352013,,S. Cressman,['S. Cressman'],1,0,0,1,Health Sciences,s.,cressman,c,s. cressman,A5050352013,s cressman
A5058753827,,Mohammad Zaki Rezwan,['Mohammad Zaki Rezwan'],2,0,0,1,Social Sciences,mohammad zaki,rezwan,r,mohammad zaki rezwan,A5058753827,m rezwan
A5111107380,,L. Matthias,"['L. Matthias', 'Leschke Matthias']",3,24,2,2,Health Sciences,l.,matthias,m,l. matthias,A5111107380,l matthias
A5015254452,,Pratik Ringshia,"['Pratik Ringshia', 'Ringshia, Pratik']",6,222,4,2,Physical Sciences,pratik,ringshia,r,pratik ringshia,A5015254452,p ringshia
A5109559835,,L. E. Ballentine,"['Ballentine, Leslie', 'Ballentine, Leslie E.', 'L E Ballentine', 'L. E. BALLENTINE', 'L. E. Ballentine', 'L.E Ballentine', 'L.E. BALLENTINE', 'L.E. Ballentine', 'Leslie Ballentine', 'Leslie E Ballentine', 'Leslie E. Ballentine']",103,10269,31,5,Physical Sciences,l. e.,ballentine,b,l. e. ballentine,A5109559835,l ballentine
A5018909583,,Lieke Laura Ten Brummelhuis,['Lieke Laura Ten Brummelhuis'],6,0,0,1,Social Sciences,lieke laura ten,brummelhuis,b,lieke laura ten brummelhuis,A5018909583,l brummelhuis
A5093389964,,David Yin,['David Yin'],1,0,0,1,Social Sciences,david,yin,y,david yin,A5093389964,d yin
