,sv_name,oa_name,sv_id,oa_id,similarity_score
0,corina a andreoiu,c andreoiu,7003934114,A5006209868,74
1,alissa nicole antle,alissa n antle,15060073500,A5021991829,85
2,jonn axsen,jonn axsen,26422020300,A5090491703,100
3,ben adcock,ben adcock,26432566700,A5065352983,100
4,diana m allen,george e allen,55808760900,A5006221782,52
5,diana m allen,ryan w allen,55808760900,A5039444427,72
6,lara b aknin,lara b aknin,23984324100,A5027537535,100
7,sean c anderson,gail s anderson,25930284300,A5046194198,67
8,douglas w allen,george e allen,7404328223,A5006221782,62
9,douglas w allen,ryan w allen,7404328223,A5039444427,67
10,gail s anderson,gail s anderson,7404223891,A5046194198,100
11,mohammad hsharifzadeh amin,m h s amin,57209051505,A5112270021,50
12,juan josé alava,juan josé alava,12139754400,A5075325298,100
13,mohammad akbari,mohsen akbari,57212395140,A5039506035,71
14,taylor m anderson,gail s anderson,56902130900,A5046194198,75
15,leif stefan anderson,gail s anderson,57220763731,A5046194198,69
16,shelbie f anderson,gail s anderson,57207959600,A5046194198,61
17,aspen m anderson,gail s anderson,57194637587,A5046194198,71
18,sam anderson,gail s anderson,57204007272,A5046194198,74
19,joshua m allen,george e allen,57754793200,A5006221782,57
20,joshua m allen,ryan w allen,57754793200,A5039444427,62
21,willow samara allen,george e allen,57210116155,A5006221782,48
22,willow samara allen,ryan w allen,57210116155,A5039444427,45
23,shahrazad amin,m h s amin,58793840600,A5112270021,50
24,alireza akbari,mohsen akbari,58906713600,A5039506035,59
25,mohsen akbari,mohsen akbari,57218664466,A5039506035,100
26,george e allen,george e allen,58420270400,A5006221782,100
27,george e allen,ryan w allen,58420270400,A5039444427,62
28,ryan w allen,george e allen,57203292425,A5006221782,62
29,ryan w allen,ryan w allen,57203292425,A5039444427,100
30,benjamin anderson,gail s anderson,57373810700,A5046194198,69
31,jackson carl burzynski,jackson carl burzynski,57210335824,A5107903626,100
32,éric m beauregard,éric beauregard,17344924200,A5059754376,94
33,martin bouchard,martin bouchard,35943405400,A5103242379,100
34,behraad bahreyni,behraad bahreyni,7801341985,A5014284015,100
35,robert a britton,robert britton,7101816384,A5014010162,93
36,fiona sl l brinkman,fiona s l brinkman,7003805233,A5050197558,97
37,t m bubela,tania bubela,6508289453,A5089546614,73
38,john r best,john r best,34771258200,A5035542400,100
39,lyn r bartram,lyn bartram,6602174809,A5084098357,92
40,felix j breden,felix breden,6701607469,A5087576955,92
41,jean françois bégin,jean‐françois bégin,57194196993,A5082339528,95
42,derek r bingham,derek bingham,57204216471,A5060689409,93
43,nicholas k blomley,nicholas blomley,6602849168,A5028312431,94
44,jessica bouchard,martin bouchard,57190967389,A5103242379,65
45,neil r branda,neil r branda,7003596071,A5052954758,100
46,joão luiz bastos,joão luiz bastos,12445265000,A5076619980,100
47,nicole s berry,nicole s berry,24402486100,A5062493243,100
48,ellen balka,ellen balka,55928456100,A5021049120,100
49,david v burley,david v burley,7004232335,A5062789412,100
50,benjamin britton,robert britton,25643888600,A5014010162,67
51,david leonard baillie,david l baillie,35241837000,A5016629898,83
52,tanya m brown,matthew brown,35336009100,A5041724055,54
53,christopher t beh,christopher beh,6701548100,A5012256170,94
54,sharon bailin,sharon bailin,14633186200,A5091037473,100
55,brittany bingham,derek bingham,56072429500,A5060689409,62
56,matthew l brown,matthew brown,56972419000,A5041724055,93
57,jean claude brodovitch,jean‐claude brodovitch,6602760504,A5081994847,95
58,john harvey borden,john h borden,7007168968,A5074800507,84
59,tom c brown,matthew brown,24433859000,A5041724055,58
60,sophie borwein,jonathan m borwein,57203476618,A5088720034,62
61,sophie borwein,peter borwein,57203476618,A5029261392,74
62,derek bingham,derek bingham,7004856179,A5060689409,100
63,jordan brubacher,jeffrey r brubacher,57212676312,A5075496142,69
64,peter b borwein,jonathan m borwein,7005219402,A5088720034,61
65,peter b borwein,peter borwein,7005219402,A5029261392,93
66,victoria brown,matthew brown,57196052427,A5041724055,52
67,adam je blanchard,a blanchard,57204253956,A5090446557,79
68,scott e bernstein,daniel m bernstein,55966833000,A5078816085,63
69,jeremy brown,matthew brown,55724445300,A5041724055,56
70,daniel m bernstein,daniel m bernstein,7401750083,A5078816085,100
71,christine a bishop,elizabeth bishop,7202946338,A5111051453,47
72,adnan azam bhatti,asim bhatti,59550144300,A5040015457,64
73,malcolm brown,matthew brown,57220917282,A5041724055,62
74,ethan brown,matthew brown,59467571400,A5041724055,67
75,brandi anne berry,nicole s berry,58957897000,A5062493243,58
76,sean brown,matthew brown,57543086500,A5041724055,61
77,tom brown,matthew brown,57225808826,A5041724055,64
78,kevin berry,nicole s berry,57222713464,A5062493243,56
79,elizabeth bishop,elizabeth bishop,59705974700,A5111051453,100
80,avid v burley,david v burley,57218515194,A5062789412,96
81,adlih britton,robert britton,58878056100,A5014010162,59
82,rob ballantyne,roy ballantyne,59558455200,A5006368396,93
83,zabrina l brumme,zabrina l brumme,57204349045,A5054186329,100
84,andrew j bennet,andrew j bennet,7005018312,A5064385050,100
85,valorie a crooks,valorie a crooks,35585107800,A5057868506,100
86,julien chopin,julien chopin,57195104543,A5088922176,100
87,isabelle m côté,isabelle m côté,7005488549,A5048073547,100
88,jiguo cao,jiguo cao,14622304000,A5062483690,100
89,habib sadat chaudhury,habib chaudhury,9039040400,A5014665875,83
90,habib sadat chaudhury,sidhartha chaudhury,9039040400,A5089946703,65
91,bernard j crespi,bernard j crespi,7006487408,A5089912926,100
92,kiffer george card,kiffer g card,57188649371,A5022830508,84
93,nansheng chen,mo chen,55573104300,A5100387244,50
94,nansheng chen,yuxi chen,55573104300,A5100764265,45
95,theodore d cosco,theodore d cosco,55948960700,A5068364602,100
96,victoria elizabeth claydon,victoria e claydon,6506256529,A5075903269,82
97,allison j carter,allison carter,55778469600,A5076004104,93
98,mark collard,mark collard,7102608373,A5053375554,100
99,cédric chauve,cédric chauve,6701456474,A5063811688,100
100,alexander l chapman,alexander l chapman,17134481500,A5042419426,100
101,mo chen,mo chen,57007331200,A5100387244,100
102,mo chen,yuxi chen,57007331200,A5100764265,62
103,d s cross,d s cross,12645477200,A5112788832,100
104,kalysha closson,kalysha closson,57189869193,A5017818883,100
105,glenn h chapman,alexander l chapman,7202936504,A5042419426,71
106,jenny s cory,jenny s cory,7102831057,A5048728862,100
107,julian k christians,julian k christians,6701576968,A5076318644,100
108,colin d copeland,colin copeland,36136875400,A5052851310,93
109,jeremy im carpendale,sheelagh carpendale,6602137442,A5012561411,67
110,sean p cox,kieran cox,7401456247,A5031419507,70
111,andrew j calvert,andrew j calvert,7102982849,A5030736348,100
112,thomas william claydon,victoria e claydon,12789638400,A5075903269,60
113,dianne j cyr,dianne cyr,55410575200,A5111411523,91
114,si chen,mo chen,57200504717,A5100387244,71
115,si chen,yuxi chen,57200504717,A5100764265,75
116,lisa craig,lisa craig,7006557001,A5068113418,100
117,amy yo sue chen,mo chen,57209310043,A5100387244,64
118,amy yo sue chen,yuxi chen,57209310043,A5100764265,58
119,ying chen,mo chen,56040387500,A5100387244,62
120,ying chen,yuxi chen,56040387500,A5100764265,78
121,rosemary claire collard,mark collard,50561130300,A5053375554,63
122,imin chen,mo chen,35306560600,A5100387244,75
123,imin chen,yuxi chen,35306560600,A5100764265,67
124,zhiqin chen,mo chen,57214778958,A5100387244,56
125,zhiqin chen,yuxi chen,57214778958,A5100764265,60
126,long chen,mo chen,57202349101,A5100387244,75
127,long chen,yuxi chen,57202349101,A5100764265,56
128,lei chen,mo chen,56612496600,A5100387244,67
129,lei chen,yuxi chen,56612496600,A5100764265,71
130,krysta mila coyle,krysta m coyle,56304962400,A5046392619,90
131,kieran d cox,kieran cox,57194499435,A5031419507,91
132,binyu chen,mo chen,57217236520,A5100387244,59
133,binyu chen,yuxi chen,57217236520,A5100764265,74
134,stephanie g craig,lisa craig,55520207400,A5068113418,59
135,jiacheng chen,mo chen,57203151209,A5100387244,50
136,jiacheng chen,yuxi chen,57203151209,A5100764265,55
137,yuchi chen,mo chen,57193485712,A5100387244,59
138,yuchi chen,yuxi chen,57193485712,A5100764265,84
139,wendy hui kyong chun,wendy hui kyong chun,58846715600,A5087258215,100
140,rebecca d cox,kieran cox,30467559600,A5031419507,52
141,michelle t chan,jennifer a chan,56714593900,A5067228740,53
142,qinghua chen,mo chen,57992064100,A5100387244,53
143,qinghua chen,yuxi chen,57992064100,A5100764265,57
144,kennedy s chen,mo chen,57215129380,A5100387244,48
145,kennedy s chen,yuxi chen,57215129380,A5100764265,52
146,anthony chan,jennifer a chan,56250973100,A5067228740,44
147,yixuan chen,mo chen,57328681600,A5100387244,56
148,yixuan chen,yuxi chen,57328681600,A5100764265,70
149,maeve cyr,dianne cyr,57206410778,A5111411523,63
150,liang cao,jiguo cao,57467068800,A5062483690,67
151,rimika chaudhury,habib chaudhury,57210733942,A5014665875,71
152,rimika chaudhury,sidhartha chaudhury,57210733942,A5089946703,69
153,qimin chen,mo chen,57382754500,A5100387244,71
154,qimin chen,yuxi chen,57382754500,A5100764265,63
155,john r calvert,andrew j calvert,58827810200,A5030736348,60
156,tian chen,mo chen,57220043419,A5100387244,62
157,tian chen,yuxi chen,57220043419,A5100764265,67
158,manuela cruz,margarito martínez cruz,57409818900,A5018665681,51
159,anqi a chen,mo chen,58830295700,A5100387244,56
160,anqi a chen,yuxi chen,58830295700,A5100764265,60
161,shuo chen,mo chen,57842429100,A5100387244,75
162,shuo chen,yuxi chen,57842429100,A5100764265,67
163,xinzhi cao,jiguo cao,57214331129,A5062483690,53
164,a m côté,isabelle m côté,57211556945,A5048073547,70
165,jennifer cy chan,jennifer a chan,57656902600,A5067228740,90
166,wuyang chen,mo chen,57214459624,A5100387244,56
167,wuyang chen,yuxi chen,57214459624,A5100764265,60
168,stacey copeland,colin copeland,57203925185,A5052851310,69
169,yizhou chen,mo chen,57382729000,A5100387244,67
170,yizhou chen,yuxi chen,57382729000,A5100764265,70
171,james k cavers,jk cavers,7005366081,A5034048445,78
172,calvin craig,lisa craig,57198036925,A5068113418,64
173,xiaoban chen,mo chen,57218999689,A5100387244,63
174,xiaoban chen,yuxi chen,57218999689,A5100764265,67
175,john calvert,andrew j calvert,56719213100,A5030736348,64
176,wenzhi chen,mo chen,55716068400,A5100387244,56
177,wenzhi chen,yuxi chen,55716068400,A5100764265,60
178,changan chen,mo chen,57219740329,A5100387244,53
179,changan chen,yuxi chen,57219740329,A5100764265,48
180,guanzhou chen,mo chen,57699420000,A5100387244,60
181,guanzhou chen,yuxi chen,57699420000,A5100764265,55
